Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dávid Hancko,sk SVK,DF,24.0,31,31,2745.0,30.5,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,3.1,3.1,2.3,5.4,63.0,227.0,44.0,0.07,0.13,0.2,0.07,0.2,0.1,0.07,0.18,0.1,0.18,Matches
Orkun Kökçü,tr TUR,MF,21.0,32,31,2696.0,30.0,8.0,2.0,10.0,6.0,2.0,2.0,6.0,0.0,5.6,4.1,7.1,11.1,91.0,379.0,104.0,0.27,0.07,0.33,0.2,0.27,0.19,0.24,0.42,0.14,0.37,Matches
Lutsharel Geertruida,nl NED,"DF,MF",22.0,30,29,2572.0,28.6,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.2,3.2,2.4,5.6,64.0,211.0,48.0,0.1,0.07,0.17,0.1,0.17,0.11,0.08,0.2,0.11,0.2,Matches
Justin Bijlow,nl NED,GK,24.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcus Pedersen,no NOR,DF,22.0,29,25,2117.0,23.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,2.3,3.9,114.0,54.0,141.0,0.04,0.09,0.13,0.04,0.13,0.07,0.1,0.16,0.07,0.16,Matches
Sebastian Szymański,pl POL,"MF,FW",23.0,29,24,1966.0,21.8,9.0,4.0,13.0,9.0,0.0,0.0,3.0,0.0,6.0,6.0,4.1,10.1,39.0,91.0,142.0,0.41,0.18,0.6,0.41,0.6,0.27,0.19,0.46,0.27,0.46,Matches
Javairô Dilrosun,nl NED,"FW,MF",24.0,31,23,1881.0,20.9,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,3.3,3.3,4.0,7.2,101.0,73.0,218.0,0.24,0.24,0.48,0.24,0.48,0.16,0.19,0.35,0.16,0.35,Matches
Santiago Giménez,mx MEX,FW,21.0,32,21,1926.0,21.4,15.0,2.0,17.0,15.0,0.0,0.0,3.0,0.0,14.7,14.7,2.1,16.8,31.0,28.0,129.0,0.7,0.09,0.79,0.7,0.79,0.69,0.1,0.79,0.69,0.79,Matches
Quilindschy Hartman,nl NED,DF,20.0,23,21,1664.0,18.5,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,0.4,0.4,2.0,2.4,35.0,106.0,91.0,0.11,0.22,0.32,0.11,0.32,0.02,0.11,0.13,0.02,0.13,Matches
Quinten Timber,nl NED,MF,21.0,24,19,1638.0,18.2,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.4,2.4,2.1,4.5,49.0,92.0,74.0,0.11,0.16,0.27,0.11,0.27,0.13,0.12,0.25,0.13,0.25,Matches
Mats Wieffer,nl NED,MF,22.0,25,18,1673.0,18.6,1.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,2.2,4.1,31.0,138.0,37.0,0.05,0.27,0.32,0.05,0.32,0.1,0.12,0.22,0.1,0.22,Matches
Gernot Trauner,at AUT,DF,30.0,19,18,1606.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.2,1.0,24.0,109.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches
Oussama Idrissi,ma MAR,FW,26.0,27,17,1427.0,15.9,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,3.4,6.0,126.0,84.0,246.0,0.25,0.38,0.63,0.25,0.63,0.16,0.21,0.38,0.16,0.38,Matches
Igor Paixão,br BRA,FW,22.0,28,15,1261.0,14.0,7.0,5.0,12.0,7.0,0.0,0.0,2.0,0.0,4.0,4.0,4.2,8.2,64.0,36.0,174.0,0.5,0.36,0.86,0.5,0.86,0.29,0.3,0.58,0.29,0.58,Matches
Danilo,br BRA,FW,23.0,34,14,1336.0,14.8,10.0,3.0,13.0,9.0,1.0,1.0,0.0,0.0,10.2,9.4,1.5,10.9,8.0,22.0,83.0,0.67,0.2,0.88,0.61,0.81,0.68,0.1,0.79,0.63,0.73,Matches
Alireza Jahanbakhsh,ir IRN,FW,28.0,28,12,1221.0,13.6,5.0,7.0,12.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,5.4,8.6,57.0,66.0,166.0,0.37,0.52,0.88,0.37,0.88,0.24,0.39,0.63,0.24,0.63,Matches
