Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ohi Omoijuanfo,no NOR,"FW,MF",28.0,2,1,72.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,1.25,1.25,Matches
Nikola Mituljikić,rs SRB,MF,19.0,7,0,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nenad Krstičić,rs SRB,MF,32.0,4,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kalifa Coulibaly,ml MLI,FW,30.0,4,0,81.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,1.11,1.11,Matches
Vladimir Lučić,rs SRB,FW,20.0,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vuk Bogdanović,rs SRB,DF,20.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jovan Miladinović,rs SRB,GK,15.0,0,0,,,,,,,,,,,,,,,,Matches
Nemanja Motika,rs SRB,FW,19.0,0,0,,,,,,,,,,,,,,,,Matches
Cristiano Piccini,it ITA,DF,29.0,0,0,,,,,,,,,,,,,,,,Matches
Zoran Popović,rs SRB,GK,34.0,0,0,,,,,,,,,,,,,,,,Matches
Petar Stanic,rs SRB,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,37,407,3330.0,37.0,93.0,63.0,156.0,84.0,9.0,9.0,68.0,0.0,2.51,1.7,4.22,2.27,3.97,
Opponent Total,,,25.6,37,407,3330.0,37.0,19.0,14.0,33.0,16.0,3.0,3.0,93.0,7.0,0.51,0.38,0.89,0.43,0.81,
