Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jean Butez,fr FRA,GK,27.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Willian Pacho,ec ECU,DF,20.0,33,33,2895.0,32.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.4,1.4,0.5,1.8,10.0,116.0,2.0,0.0,0.03,0.03,0.0,0.03,0.04,0.01,0.06,0.04,0.06,Matches
Toby Alderweireld,be BEL,DF,33.0,30,30,2700.0,30.0,5.0,2.0,7.0,3.0,2.0,2.0,5.0,0.0,3.7,2.1,1.1,3.2,17.0,122.0,3.0,0.17,0.07,0.23,0.1,0.17,0.12,0.04,0.16,0.07,0.11,Matches
Vincent Janssen,nl NED,FW,28.0,30,26,2306.0,25.6,16.0,4.0,20.0,10.0,6.0,6.0,6.0,0.0,11.9,7.2,3.7,10.9,27.0,80.0,183.0,0.62,0.16,0.78,0.39,0.55,0.47,0.14,0.61,0.28,0.43,Matches
Ritchie De Laet,be BEL,DF,33.0,30,23,2066.0,23.0,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,1.3,1.3,2.8,4.1,32.0,139.0,56.0,0.04,0.13,0.17,0.04,0.17,0.05,0.12,0.18,0.05,0.18,Matches
Jelle Bataille,be BEL,DF,23.0,31,22,1986.0,22.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,2.7,3.5,89.0,145.0,130.0,0.0,0.14,0.14,0.0,0.14,0.04,0.12,0.16,0.04,0.16,Matches
Jurgen Ekkelenkamp,nl NED,MF,22.0,27,22,1876.0,20.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,5.5,5.5,3.2,8.8,27.0,93.0,105.0,0.24,0.34,0.58,0.24,0.58,0.27,0.16,0.42,0.27,0.42,Matches
Michel-Ange Balikwisha,be BEL,FW,21.0,27,22,1865.0,20.7,6.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,4.1,4.1,2.6,6.7,73.0,63.0,211.0,0.29,0.05,0.34,0.29,0.34,0.2,0.12,0.32,0.2,0.32,Matches
Calvin Stengs,nl NED,"MF,FW",23.0,21,19,1673.0,18.6,1.0,4.0,5.0,1.0,0.0,0.0,5.0,1.0,2.6,2.6,3.4,6.1,63.0,127.0,128.0,0.05,0.22,0.27,0.05,0.27,0.14,0.18,0.33,0.14,0.33,Matches
Arthur Vermeeren,be BEL,MF,17.0,20,18,1627.0,18.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.8,2.6,27.0,102.0,43.0,0.0,0.06,0.06,0.0,0.06,0.05,0.1,0.14,0.05,0.14,Matches
Alhassan Yusuf,ng NGA,MF,22.0,22,17,1564.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.6,1.2,37.0,121.0,33.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.07,0.03,0.07,Matches
Pieter Gerkens,be BEL,MF,26.0,19,16,1442.0,16.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,10.0,76.0,54.0,0.06,0.12,0.19,0.06,0.19,0.12,0.06,0.19,0.12,0.19,Matches
Arbnor Muja,al ALB,FW,23.0,21,16,1373.0,15.3,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,3.7,3.7,1.7,5.5,78.0,45.0,198.0,0.2,0.2,0.39,0.2,0.39,0.24,0.11,0.36,0.24,0.36,Matches
Sam Vines,us USA,DF,23.0,15,15,1262.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.1,21.0,76.0,56.0,0.07,0.07,0.14,0.07,0.14,0.02,0.05,0.08,0.02,0.08,Matches
Mandela Keita,be BEL,MF,20.0,11,11,845.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,9.0,38.0,11.0,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1,Matches
Gastón Ávila,ar ARG,DF,20.0,16,10,983.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,13.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Gyrano Kerk,nl NED,FW,26.0,12,10,859.0,9.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,4.1,4.1,1.4,5.5,33.0,40.0,95.0,0.42,0.1,0.52,0.42,0.52,0.43,0.14,0.57,0.43,0.57,Matches
Koji Miyoshi,jp JPN,FW,25.0,10,9,637.0,7.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,1.2,2.7,18.0,26.0,76.0,0.14,0.14,0.28,0.14,0.28,0.22,0.17,0.38,0.22,0.38,Matches
Radja Nainggolan,be BEL,MF,34.0,12,7,667.0,7.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.3,2.6,9.0,46.0,48.0,0.13,0.13,0.27,0.13,0.27,0.18,0.17,0.35,0.18,0.35,Matches
Michael Frey,ch SUI,FW,28.0,14,7,555.0,6.2,7.0,0.0,7.0,5.0,2.0,2.0,0.0,0.0,3.9,2.3,0.5,2.8,6.0,18.0,57.0,1.14,0.0,1.14,0.81,0.81,0.62,0.08,0.71,0.37,0.45,Matches
Dinis Almeida,pt POR,DF,27.0,8,3,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Zeno Van den Bosch,be BEL,DF,19.0,4,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,2.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.21,0.08,0.21,Matches
Anthony Valencia,ec ECU,FW,19.0,10,1,241.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,9.0,8.0,25.0,0.37,0.0,0.37,0.37,0.37,0.16,0.28,0.44,0.16,0.44,Matches
Christopher Scott,de GER,"FW,MF",20.0,18,0,279.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,13.0,13.0,32.0,0.32,0.0,0.32,0.32,0.32,0.26,0.05,0.31,0.26,0.31,Matches
Bruny Nsimba,be BEL,"FW,DF",22.0,10,0,123.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,4.0,3.0,19.0,0.73,0.0,0.73,0.73,0.73,0.38,0.13,0.51,0.38,0.51,Matches
Viktor Fischer,dk DEN,FW,28.0,7,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kobe Corbanie,be BEL,"DF,MF",17.0,5,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Birger Verstraete,be BEL,MF,28.0,4,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benson Manuel,be BEL,FW,25.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Faris Haroun,be BEL,MF,36.0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
