Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joe Hart,eng ENG,GK,35.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matt O'Riley,dk DEN,MF,21.0,38,32,2507.0,27.9,3.0,12.0,15.0,3.0,0.0,0.0,3.0,0.0,0.11,0.43,0.54,0.11,0.54,Matches
Callum McGregor,sct SCO,MF,29.0,31,31,2759.0,30.7,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,0.13,0.03,0.16,0.13,0.16,Matches
Kyogo Furuhashi,jp JPN,FW,27.0,36,31,2304.0,25.6,27.0,2.0,29.0,27.0,0.0,1.0,3.0,0.0,1.05,0.08,1.13,1.05,1.13,Matches
Cameron Carter-Vickers,us USA,DF,24.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Reo Hatate,jp JPN,MF,24.0,32,29,2214.0,24.6,6.0,8.0,14.0,5.0,1.0,1.0,0.0,0.0,0.24,0.33,0.57,0.2,0.53,Matches
Greg Taylor,sct SCO,DF,24.0,31,28,2424.0,26.9,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,0.11,0.15,0.26,0.11,0.26,Matches
Carl Starfelt,se SWE,DF,27.0,28,26,2395.0,26.6,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.11,0.04,0.15,0.11,0.15,Matches
Jota,pt POR,FW,23.0,33,26,2182.0,24.2,11.0,11.0,22.0,9.0,2.0,2.0,1.0,0.0,0.45,0.45,0.91,0.37,0.82,Matches
Daizen Maeda,jp JPN,"FW,MF",24.0,35,25,1898.0,21.1,8.0,5.0,13.0,8.0,0.0,0.0,4.0,1.0,0.38,0.24,0.62,0.38,0.62,Matches
Anthony Ralston,sct SCO,DF,23.0,16,14,1261.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Alistair Johnston,ca CAN,DF,23.0,14,14,1233.0,13.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches
Liel Abada,il ISR,FW,20.0,34,13,1469.0,16.3,10.0,5.0,15.0,10.0,0.0,0.0,2.0,0.0,0.61,0.31,0.92,0.61,0.92,Matches
Aaron Mooy,au AUS,MF,31.0,29,13,1269.0,14.1,4.0,10.0,14.0,2.0,2.0,2.0,2.0,0.0,0.28,0.71,0.99,0.14,0.85,Matches
Moritz Jenz,de GER,DF,23.0,11,10,845.0,9.4,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Josip Juranović,hr CRO,DF,26.0,10,9,871.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches
Alexandro Bernabei,ar ARG,DF,21.0,15,9,868.0,9.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.1,0.31,0.41,0.1,0.41,Matches
Sead Haksabanović,me MNE,"FW,MF",23.0,26,8,845.0,9.4,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.53,0.21,0.75,0.53,0.75,Matches
David Turnbull,sct SCO,MF,23.0,28,6,890.0,9.9,4.0,6.0,10.0,4.0,0.0,0.0,1.0,1.0,0.4,0.61,1.01,0.4,1.01,Matches
Tomoki Iwata,jp JPN,"MF,DF",25.0,13,6,602.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
James Forrest,sct SCO,FW,31.0,16,5,554.0,6.2,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.65,0.32,0.97,0.65,0.97,Matches
Yuki Kobayashi,jp JPN,DF,22.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giorgos Giakoumakis,gr GRE,FW,27.0,19,4,698.0,7.8,6.0,1.0,7.0,6.0,0.0,1.0,2.0,0.0,0.77,0.13,0.9,0.77,0.9,Matches
Stephen Welsh,sct SCO,DF,22.0,4,4,360.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches
Oh Hyeongyu,kr KOR,FW,21.0,16,3,510.0,5.7,6.0,0.0,6.0,5.0,1.0,1.0,2.0,0.0,1.06,0.0,1.06,0.88,0.88,Matches
Scott Bain,sct SCO,GK,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oliver Abildgaard,dk DEN,MF,26.0,6,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rocco Vata,ie IRL,MF,17.0,4,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James McCarthy,ie IRL,MF,31.0,2,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ben Summers,sct SCO,MF,18.0,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yosuke Ideguchi,jp JPN,MF,25.0,0,0,,,,,,,,,,,,,,,,Matches
Mohammed Lawal,ie IRL,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
