Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Fernando Muslera,uy URU,GK,36.0,33,33,2964.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Victor Nelsson,dk DEN,DF,23.0,33,33,2963.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sacha Boey,fr FRA,DF,21.0,31,31,2711.0,30.1,1.0,4.0,5.0,1.0,0.0,0.0,8.0,1.0,0.03,0.13,0.17,0.03,0.17,Matches
Kerem Aktürkoğlu,tr TUR,MF,23.0,34,31,2588.0,28.8,9.0,11.0,20.0,9.0,0.0,0.0,3.0,0.0,0.31,0.38,0.7,0.31,0.7,Matches
Abdülkerim Bardakcı,tr TUR,DF,27.0,30,30,2653.0,29.5,3.0,3.0,6.0,3.0,0.0,0.0,6.0,2.0,0.1,0.1,0.2,0.1,0.2,Matches
Sérgio Oliveira,pt POR,MF,30.0,32,29,2318.0,25.8,4.0,4.0,8.0,3.0,1.0,1.0,7.0,0.0,0.16,0.16,0.31,0.12,0.27,Matches
Lucas Torreira,uy URU,MF,26.0,31,28,2406.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dries Mertens,be BEL,MF,35.0,30,27,2044.0,22.7,6.0,3.0,9.0,6.0,0.0,0.0,7.0,0.0,0.26,0.13,0.4,0.26,0.4,Matches
Mauro Icardi,ar ARG,FW,29.0,24,21,1885.0,20.9,22.0,7.0,29.0,16.0,6.0,9.0,3.0,0.0,1.05,0.33,1.38,0.76,1.1,Matches
Milot Rashica,xk KVX,MF,26.0,26,20,1691.0,18.8,4.0,6.0,10.0,4.0,0.0,0.0,3.0,0.0,0.21,0.32,0.53,0.21,0.53,Matches
