Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Yunus Akgün,tr TUR,MF,22.0,25,10,1017.0,11.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.09,0.18,0.27,0.09,0.27,Matches
Leo Dubois,fr FRA,DF,27.0,21,9,986.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches
Patrick van Aanholt,nl NED,DF,31.0,10,9,805.0,8.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Barış Alper Yılmaz,tr TUR,"MF,FW",22.0,25,8,857.0,9.5,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,0.42,0.21,0.63,0.42,0.63,Matches
Kazımcan Karataş,tr TUR,DF,19.0,11,8,724.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bafétimbi Gomis,fr FRA,FW,36.0,23,7,685.0,7.6,8.0,0.0,8.0,8.0,0.0,1.0,1.0,0.0,1.05,0.0,1.05,1.05,1.05,Matches
Berkan Kutlu,tr TUR,MF,24.0,24,6,769.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sam Adekugbe,ca CAN,DF,27.0,6,6,512.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches
Fredrik Midtsjø,no NOR,MF,28.0,21,5,623.0,6.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.14,0.29,0.43,0.14,0.43,Matches
Emre Taşdemir,tr TUR,DF,26.0,5,5,314.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches
Emin Bayram,tr TUR,DF,19.0,7,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Haris Seferović,ch SUI,FW,30.0,10,4,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Mata,es ESP,MF,34.0,16,3,341.0,3.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.79,0.26,1.06,0.79,1.06,Matches
Emre Akbaba,tr TUR,MF,29.0,5,3,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Zaniolo,it ITA,"MF,FW",23.0,10,2,354.0,3.9,5.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,1.27,0.0,1.27,1.02,1.02,Matches
Kaan Ayhan,tr TUR,DF,27.0,5,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Okan Kocuk,tr TUR,GK,27.0,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Demir,at AUT,FW,19.0,5,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emre Kılınç,tr TUR,"FW,MF",27.0,2,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Taylan Antalyalı,tr TUR,MF,27.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hamza Akman,tr TUR,MF,17.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandru Cicâldău,ro ROU,MF,25.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Özgur Baran Aksaka,,MF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Metehan Baltacı,tr TUR,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Omar Elabdellaoui,no NOR,"DF,MF",30.0,0,0,,,,,,,,,,,,,,,,Matches
Christian Luyindama,cd COD,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches
Mathias Ross,dk DEN,DF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Ali Turap Bülbül,tr TUR,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Jankat Yilmaz,tr TUR,GK,17.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,36,374,3060.0,34.0,73.0,49.0,122.0,65.0,8.0,12.0,75.0,4.0,2.15,1.44,3.59,1.91,3.35,
Opponent Total,,,28.2,36,374,3060.0,34.0,27.0,21.0,48.0,26.0,1.0,2.0,98.0,9.0,0.79,0.62,1.41,0.76,1.38,
