Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Diego Lainez,mx MEX,MF,22.0,6,1,156.0,1.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.0,8.0,11.0,20.0,0.58,1.15,1.73,0.58,1.73,0.37,0.21,0.58,0.37,0.58,Matches
Bruno Rodrigues,pt POR,DF,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Hernani Infande,pt POR,"MF,FW",21.0,3,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Jean Gorby,fr FRA,MF,20.0,7,0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Lukáš Horníček,cz CZE,GK,20.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dinis Pinto,pt POR,DF,21.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.07,0.0,1.07,Matches
Pedro Santos,pt POR,"FW,MF",21.0,3,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.61,Matches
Roger Fernandes,gw GNB,FW,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Fonseca,pt POR,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Macedo,pt POR,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Mineiro,br BRA,MF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.4,34,374,3060.0,34.0,72.0,50.0,122.0,68.0,4.0,6.0,86.0,6.0,59.0,54.2,40.8,95.1,613.0,1511.0,1498.0,2.12,1.47,3.59,2.0,3.47,1.73,1.2,2.94,1.6,2.8,
Opponent Total,,,26.2,34,374,3060.0,34.0,30.0,23.0,53.0,26.0,4.0,5.0,96.0,4.0,39.6,35.7,28.8,64.4,543.0,1086.0,1075.0,0.88,0.68,1.56,0.76,1.44,1.16,0.85,2.01,1.05,1.9,
