Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Philipp Köhn,ch SUI,GK,24.0,32,31,2847.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolas Seiwald,at AUT,MF,21.0,31,29,2584.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches
Amar Dedić,ba BIH,DF,19.0,27,26,2333.0,25.9,1.0,4.0,5.0,1.0,0.0,0.0,8.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches
Oumar Solet,fr FRA,DF,22.0,25,25,2180.0,24.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Strahinja Pavlović,rs SRB,DF,21.0,24,23,2027.0,22.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.09,0.04,0.09,Matches
Benjamin Šeško,si SVN,FW,19.0,30,23,2021.0,22.5,16.0,4.0,20.0,14.0,2.0,2.0,1.0,0.0,0.71,0.18,0.89,0.62,0.8,Matches
Nicolás Capaldo,ar ARG,MF,24.0,23,21,1752.0,19.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,1.0,0.26,0.1,0.36,0.26,0.36,Matches
Maurits Kjærgaard,dk DEN,MF,19.0,26,17,1599.0,17.8,2.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,0.11,0.34,0.45,0.11,0.45,Matches
Lucas Gourna-Douath,fr FRA,MF,18.0,21,17,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Ulmer,at AUT,DF,36.0,21,15,1373.0,15.3,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches
Bernardo,br BRA,DF,27.0,18,15,1361.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maximilian Wöber,at AUT,DF,24.0,15,14,1184.0,13.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.08,0.15,0.23,0.08,0.23,Matches
Sekou Koita,ml MLI,FW,22.0,22,14,1118.0,12.4,6.0,4.0,10.0,5.0,1.0,1.0,4.0,0.0,0.48,0.32,0.81,0.4,0.72,Matches
Junior Adamu,at AUT,FW,21.0,28,13,1283.0,14.3,10.0,3.0,13.0,10.0,0.0,0.0,2.0,1.0,0.7,0.21,0.91,0.7,0.91,Matches
Luka Sučić,hr CRO,"FW,MF",19.0,15,13,1106.0,12.3,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches
Noah Okafor,ch SUI,FW,22.0,21,11,1001.0,11.1,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,0.63,0.27,0.9,0.63,0.9,Matches
Oscar Gloukh,il ISR,FW,18.0,15,8,777.0,8.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.23,0.23,0.46,0.23,0.46,Matches
Fernando,br BRA,"FW,MF",23.0,9,8,573.0,6.4,6.0,3.0,9.0,5.0,1.0,1.0,0.0,0.0,0.94,0.47,1.41,0.79,1.26,Matches
Dijon Kameri,at AUT,"FW,MF",18.0,12,7,464.0,5.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.19,0.39,0.58,0.19,0.58,Matches
Ignace Van Der Brempt,be BEL,DF,20.0,15,6,623.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Forson Amankwah,gh GHA,"MF,FW",19.0,12,3,409.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Roko Simic,hr CRO,FW,18.0,9,3,321.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches
Youba Diarra,ml MLI,MF,24.0,7,2,297.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Kamil Piątkowski,pl POL,DF,22.0,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lawrence Agyekum,gh GHA,"MF,FW",18.0,3,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samson Baidoo,at AUT,DF,18.0,4,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Karim Konaté,ci CIV,FW,18.0,9,1,195.0,2.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.38,0.46,1.85,1.38,1.85,Matches
Alexander Walke,de GER,GK,39.0,1,1,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mamady Diambou,ml MLI,MF,19.0,4,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Antoine Bernede,fr FRA,MF,23.0,2,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bryan Okoh,ch SUI,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oumar Diakité,ci CIV,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Lukas Ibertsberger,at AUT,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Moussa Kounfolo Yeo,ml MLI,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Nico Mantl,de GER,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches
Jérôme Onguéné,cm CMR,DF,24.0,0,0,,,,,,,,,,,,,,,,Matches
Adam Stejskal,cz CZE,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Lukas Wallner,at AUT,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,22.3,32,352,2880.0,32.0,66.0,51.0,117.0,62.0,4.0,4.0,70.0,4.0,2.06,1.59,3.66,1.94,3.53,
Opponent Total,,,25.6,32,352,2880.0,32.0,22.0,15.0,37.0,20.0,2.0,3.0,59.0,2.0,0.69,0.47,1.16,0.62,1.09,
