Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Viktor Claesson,se SWE,"MF,FW",30.0,30,30,2596.0,28.8,13.0,4.0,17.0,13.0,0.0,2.0,6.0,0.0,0.45,0.14,0.59,0.45,0.59,Matches
Denis Vavro,sk SVK,DF,26.0,29,27,2438.0,27.1,1.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
Mohammed Daramy,dk DEN,"FW,MF",20.0,28,26,2124.0,23.6,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches
Hákon Arnar Haraldsson,is ISL,"FW,MF",19.0,29,26,2018.0,22.4,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,0.18,0.18,0.36,0.18,0.36,Matches
Lukas Lerager,dk DEN,MF,29.0,30,24,2222.0,24.7,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,0.24,0.04,0.28,0.24,0.28,Matches
Kamil Grabara,pl POL,GK,23.0,23,23,1987.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Elias Jelert,dk DEN,"DF,MF",19.0,26,21,1899.0,21.1,1.0,5.0,6.0,1.0,0.0,0.0,7.0,0.0,0.05,0.24,0.28,0.05,0.28,Matches
Rasmus Falk,dk DEN,MF,30.0,27,19,1601.0,17.8,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Davit Khocholava,ge GEO,DF,29.0,17,17,1309.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Diks,nl NED,DF,25.0,24,14,1351.0,15.0,1.0,4.0,5.0,1.0,0.0,0.0,7.0,1.0,0.07,0.27,0.33,0.07,0.33,Matches
Valdemar Jensen,dk DEN,DF,19.0,19,14,1268.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Victor Bernth Kristiansen,dk DEN,DF,19.0,15,13,1121.0,12.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches
William Clem,dk DEN,MF,18.0,17,11,1024.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Diogo Gonçalves,pt POR,"FW,MF",25.0,14,11,782.0,8.7,5.0,0.0,5.0,2.0,3.0,4.0,1.0,0.0,0.58,0.0,0.58,0.23,0.23,Matches
Christian Sørensen,dk DEN,"DF,MF",29.0,17,10,1023.0,11.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.18,0.09,0.26,0.18,0.26,Matches
Peter Ankersen,dk DEN,DF,31.0,12,9,733.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ísak Jóhannesson,is ISL,"MF,FW",19.0,22,8,840.0,9.3,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.21,0.21,0.43,0.21,0.43,Matches
Marko Stamenic,nz NZL,"MF,DF",20.0,15,8,748.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pep Biel,es ESP,FW,25.0,7,7,605.0,6.7,5.0,3.0,8.0,3.0,2.0,2.0,0.0,0.0,0.74,0.45,1.19,0.45,0.89,Matches
Mathew Ryan,au AUS,GK,30.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordan Larsson,se SWE,FW,25.0,12,5,635.0,7.1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches
Nicolai Boilesen,dk DEN,DF,30.0,8,5,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roony Bardghji,se SWE,FW,16.0,19,4,615.0,6.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.44,0.15,0.59,0.44,0.59,Matches
Andreas Cornelius,dk DEN,FW,29.0,11,4,510.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches
Zeca,gr GRE,MF,33.0,7,4,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Karl-Johan Johnsson,se SWE,GK,32.0,4,3,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mamoudou Karamoko,fr FRA,"MF,FW",22.0,5,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Vick,dk DEN,MF,19.0,3,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paul Mukairu,ng NGA,MF,22.0,5,0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Orri Steinn Óskarsson,is ISL,FW,17.0,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Khouma Babacar,sn SEN,FW,29.0,3,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Akinkunmi Amoo,ng NGA,FW,20.0,2,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Dithmer,dk DEN,GK,16.0,0,0,,,,,,,,,,,,,,,,Matches
Aksel Halsgaard,dk DEN,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Emil Højlund,dk DEN,FW,17.0,0,0,,,,,,,,,,,,,,,,Matches
Noah Sahsah,dk DEN,FW,17.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.9,32,352,2880.0,32.0,59.0,34.0,93.0,54.0,5.0,9.0,80.0,1.0,1.84,1.06,2.91,1.69,2.75,
Opponent Total,,,25.2,32,352,2880.0,32.0,35.0,24.0,59.0,32.0,3.0,5.0,84.0,5.0,1.09,0.75,1.84,1.0,1.75,
