Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Xavi Simons,nl NED,"FW,MF",19.0,34,34,2803.0,31.1,19.0,8.0,27.0,17.0,2.0,2.0,2.0,0.0,14.9,13.3,7.4,20.7,148.0,150.0,247.0,0.61,0.26,0.87,0.55,0.8,0.48,0.24,0.72,0.43,0.66,Matches
Walter Benítez,ar ARG,GK,29.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joey Veerman,nl NED,MF,23.0,33,30,2481.0,27.6,4.0,10.0,14.0,4.0,0.0,0.0,1.0,0.0,3.7,3.7,10.0,13.7,49.0,309.0,64.0,0.15,0.36,0.51,0.15,0.51,0.14,0.36,0.5,0.14,0.5,Matches
Ibrahim Sangaré,ci CIV,MF,24.0,29,26,2303.0,25.6,5.0,1.0,6.0,5.0,0.0,0.0,5.0,0.0,4.0,4.0,2.4,6.5,32.0,194.0,37.0,0.2,0.04,0.23,0.2,0.23,0.16,0.09,0.25,0.16,0.25,Matches
Jordan Teze,nl NED,DF,22.0,27,23,2012.0,22.4,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,3.4,4.8,45.0,159.0,52.0,0.0,0.13,0.13,0.0,0.13,0.06,0.15,0.21,0.06,0.21,Matches
Luuk de Jong,nl NED,FW,31.0,24,23,1744.0,19.4,14.0,4.0,18.0,13.0,1.0,2.0,3.0,0.0,17.1,15.6,2.6,18.2,6.0,46.0,117.0,0.72,0.21,0.93,0.67,0.88,0.89,0.13,1.02,0.8,0.94,Matches
Jarrad Branthwaite,eng ENG,DF,20.0,27,21,1992.0,22.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,1.3,2.9,7.0,80.0,4.0,0.09,0.05,0.14,0.09,0.14,0.07,0.06,0.13,0.07,0.13,Matches
Armando Obispo,nl NED,DF,23.0,22,21,1718.0,19.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.4,1.4,0.5,1.9,15.0,123.0,6.0,0.1,0.05,0.16,0.1,0.16,0.07,0.02,0.1,0.07,0.1,Matches
André Ramalho,br BRA,DF,30.0,28,20,1832.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.1,11.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Guus Til,nl NED,"MF,FW",24.0,30,19,1756.0,19.5,9.0,3.0,12.0,9.0,0.0,0.0,4.0,0.0,9.2,9.2,3.4,12.6,37.0,71.0,109.0,0.46,0.15,0.62,0.46,0.62,0.47,0.17,0.65,0.47,0.65,Matches
Phillipp Mwene,at AUT,DF,28.0,25,19,1691.0,18.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.6,2.3,41.0,56.0,100.0,0.0,0.05,0.05,0.0,0.05,0.04,0.08,0.12,0.04,0.12,Matches
Johan Bakayoko,be BEL,FW,19.0,23,17,1373.0,15.3,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,3.8,3.8,3.5,7.3,102.0,45.0,240.0,0.33,0.33,0.66,0.33,0.66,0.25,0.23,0.48,0.25,0.48,Matches
Cody Gakpo,nl NED,FW,23.0,14,14,1122.0,12.5,9.0,12.0,21.0,7.0,2.0,2.0,0.0,0.0,6.3,4.7,6.8,11.5,53.0,50.0,147.0,0.72,0.96,1.68,0.56,1.52,0.51,0.54,1.05,0.38,0.93,Matches
Erick Gutiérrez,mx MEX,MF,27.0,30,13,1462.0,16.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,1.4,2.8,12.0,94.0,8.0,0.12,0.12,0.25,0.12,0.25,0.09,0.08,0.17,0.09,0.17,Matches
Patrick van Aanholt,nl NED,DF,31.0,15,13,1177.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,2.9,3.4,26.0,57.0,69.0,0.08,0.15,0.23,0.08,0.23,0.03,0.22,0.26,0.03,0.26,Matches
Anwar El Ghazi,nl NED,FW,27.0,23,12,1182.0,13.1,8.0,0.0,8.0,8.0,0.0,0.0,4.0,1.0,4.6,4.6,2.6,7.2,41.0,43.0,138.0,0.61,0.0,0.61,0.61,0.61,0.35,0.2,0.55,0.35,0.55,Matches
Philipp Max,de GER,DF,28.0,14,12,1019.0,11.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.8,2.1,37.0,39.0,84.0,0.0,0.18,0.18,0.0,0.18,0.02,0.16,0.19,0.02,0.19,Matches
Fábio Silva,pt POR,FW,20.0,14,5,607.0,6.7,4.0,1.0,5.0,3.0,1.0,1.0,3.0,0.0,4.0,3.2,1.4,4.6,13.0,8.0,63.0,0.59,0.15,0.74,0.44,0.59,0.6,0.2,0.8,0.48,0.68,Matches
Ismael Saibari,ma MAR,FW,21.0,17,5,417.0,4.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,1.5,3.7,25.0,29.0,61.0,0.0,0.43,0.43,0.0,0.43,0.48,0.33,0.81,0.48,0.81,Matches
Joel Drommel,nl NED,GK,25.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauro Júnior,br BRA,"DF,MF",23.0,6,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.5,8.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches
Noni Madueke,eng ENG,"FW,MF",20.0,5,2,279.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,2.5,4.9,36.0,27.0,59.0,0.32,0.0,0.32,0.32,0.32,0.78,0.8,1.59,0.78,1.59,Matches
Olivier Boscagli,fr FRA,DF,24.0,7,2,219.0,2.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.1,2.0,16.0,0.0,0.41,0.41,0.82,0.41,0.82,0.32,0.15,0.47,0.32,0.47,Matches
Ki-Jana Hoever,nl NED,DF,20.0,5,2,211.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,7.0,17.0,21.0,0.0,0.85,0.85,0.0,0.85,0.2,0.53,0.73,0.2,0.73,Matches
Thorgan Hazard,be BEL,"FW,MF",29.0,9,1,243.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.9,1.1,10.0,7.0,24.0,0.37,0.0,0.37,0.37,0.37,0.11,0.32,0.42,0.11,0.42,Matches
Fredrik Oppegard,no NOR,DF,19.0,3,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,9.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Yorbe Vertessen,be BEL,"FW,MF",21.0,8,1,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,4.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.43,0.2,0.43,Matches
Richy Ledezma,us USA,MF,21.0,7,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Sávio,br BRA,"FW,MF",18.0,6,0,100.0,1.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,6.0,7.0,19.0,0.0,1.8,1.8,0.0,1.8,0.03,1.23,1.26,0.03,1.26,Matches
Carlos Vinícius,br BRA,FW,27.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.37,0.98,2.35,1.37,2.35,Matches
Fodé Fofana,nl NED,FW,19.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco van Ginkel,nl NED,DF,29.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Livano Comenencia,nl NED,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tygo Land,nl NED,MF,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fedde Leysen,be BEL,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Derrick Luckassen,nl NED,"DF,MF",27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
