,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
42,1042,Ismaël Bennacer,ALG,MF,Milan,Serie A,24,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19
43,1043,Karim Benzema,FRA,FW,Real Madrid,La Liga,34,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.2,0.66,0.91
44,1044,Bartosz Bereszyński,POL,DF,Napoli,Serie A,30,0.0,0.54,0.54,0.0,0.54,0.0,0.1,0.1,0.0,0.1
45,1045,Patrick Berg,NOR,"MF,FW",Lens,Ligue 1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17
46,1046,Juan Bernat,ESP,"DF,MF",Paris S-G,Ligue 1,29,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21
47,1047,Marco Bertini,ITA,MF,Lazio,Serie A,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1048,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1049,Daley Blind,NED,"DF,MF",Bayern Munich,Bundesliga,32,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08
50,1050,Sven Botman,NED,DF,Newcastle Utd,Premier League,22,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1
51,1051,Yassine Bounou,MAR,GK,Sevilla,La Liga,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1052,Ismaëlben Boura,FRA,"DF,FW",Lens,Ligue 1,21,0.0,0.0,0.0,0.0,0.0,0.06,0.2,0.26,0.06,0.26
53,1053,Julian Brandt,GER,"MF,FW",Dortmund,Bundesliga,26,0.34,0.3,0.64,0.34,0.64,0.19,0.34,0.54,0.19,0.54
54,1054,Marcelo Brozović,CRO,MF,Inter,Serie A,29,0.15,0.25,0.41,0.15,0.41,0.13,0.14,0.27,0.13,0.27
