,player_id,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
81,1081,Ousmane Dembélé,FRA,FW,Paris Saint-Germain,Ligue 1,26,0.2808,0.476775,0.7575749999999999,0.2808,0.7575749999999999,0.3305249999999999,0.3626999999999999,0.6903,0.3305249999999999,0.6903
82,1082,Giovanni Di Lorenzo,ITA,DF,SSC Napoli,Serie A,30,0.1312,0.2112,0.3424,0.1312,0.3424,0.096,0.2112,0.3072,0.096,0.3072
83,1083,Rúben Dias,POR,DF,Manchester City,Premier League,26,0.0,0.0,0.0,0.0,0.0,0.0759,0.0297,0.1056,0.0759,0.1056
84,1084,Brahim Díaz,ESP,"MF,FW",Real Madrid,La Liga,24,0.5740500000000001,0.319275,0.893325,0.5740500000000001,0.893325,0.3483,0.3354,0.6837000000000001,0.3483,0.6837000000000001
85,1085,Federico Dimarco,ITA,DF,Inter Milan,Serie A,25,0.23725,0.338,0.57525,0.23725,0.57525,0.169,0.403,0.5720000000000001,0.169,0.5720000000000001
86,1086,Andy Diouf,FRA,MF,RC Lens,Ligue 1,20,0.0,0.0,0.0,0.0,0.0,0.0981,0.0327,0.1199,0.0981,0.1199
87,1087,Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1088,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,25,0.21,0.0315,0.2415,0.21,0.2415,0.0735,0.018375,0.084,0.0735,0.084
89,1089,Jeremy Doku,BEL,FW,Manchester City,Premier League,21,0.5544,0.0,0.5544,0.5544,0.5544,0.0528,0.5148,0.5676,0.0528,0.5676
90,1090,Gianluigi Donnarumma,ITA,GK,Paris Saint-Germain,Ligue 1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1091,Gabriel Dos Santos,BRA,DF,Arsenal FC,Premier League,25,0.094488,0.0,0.094488,0.094488,0.094488,0.161417,0.011811,0.173228,0.161417,0.173228
92,1092,Denzel Dumfries,NED,DF,Inter Milan,Serie A,27,0.19175,0.3087499999999999,0.5005000000000001,0.19175,0.5005000000000001,0.19175,0.32175,0.5135,0.19175,0.5135
93,1093,Ederson,BRA,GK,Manchester City,Premier League,30,0.0,0.0297,0.0297,0.0,0.0297,0.0,0.0132,0.0132,0.0,0.0132
94,1094,Hugo Ekitike,FRA,FW,Paris Saint-Germain,Ligue 1,21,0.201825,0.2720249999999999,0.482625,0.201825,0.482625,0.2544749999999999,0.2018249999999999,0.4563,0.2544749999999999,0.4563
95,1095,Elif Elmas,MKD,FW,SSC Napoli,Serie A,24,0.3168,0.1632,0.48,0.2688,0.4224,0.2176,0.1504,0.368,0.1792,0.3295999999999999
96,1096,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29,0.0,0.0512999999999999,0.0512999999999999,0.0,0.0512999999999999,0.0341999999999999,0.0512999999999999,0.09405,0.0341999999999999,0.09405
97,1097,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26,0.450625,0.038625,0.496975,0.450625,0.496975,0.455775,0.04635,0.502125,0.455775,0.502125
98,1098,Christian Eriksen,DEN,MF,Manchester United,Premier League,31,0.112,0.3724,0.4956,0.112,0.4956,0.2128,0.1876,0.392,0.2128,0.392
99,1099,Jonny Evans,NIR,DF,Manchester United,Premier League,35,0.0,1.064,1.064,0.0,1.064,0.0,0.112,0.112,0.0,0.112
100,1100,Abdessamad Ezzalzouli,MAR,"FW,MF",FC Barcelona,La Liga,21,0.0,0.0,0.0,0.0,0.0,0.3528,0.1134,0.4662,0.3528,0.4662
101,1101,Ansu Fati,ESP,"MF,FW",FC Barcelona,La Liga,20,0.42525,0.17955,0.6142500000000001,0.42525,0.6142500000000001,0.97965,0.10395,1.0741500000000002,0.97965,1.0741500000000002
102,1102,João Félix,POR,"FW,MF",FC Barcelona,La Liga,23,0.6142500000000001,0.4914,1.1088,0.6142500000000001,1.1088,0.57015,0.25515,0.8253,0.57015,0.8253
103,1103,Bruno Fernandes,POR,"MF,FW",Manchester United,Premier League,29,0.2772,0.2324,0.5012000000000001,0.182,0.4116000000000001,0.3276,0.5068,0.8428,0.2548,0.7644000000000001
104,1104,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,27,0.2194499999999999,0.0,0.2194499999999999,0.2194499999999999,0.2194499999999999,0.3277499999999999,0.0683999999999999,0.39615,0.3277499999999999,0.39615
105,1105,Fernando,BRA,MF,Sevilla,La Liga,36,0.0,0.04635,0.04635,0.0,0.04635,0.007725,0.03605,0.043775,0.007725,0.043775
106,1106,Alessandro Florenzi,ITA,DF,AC Milan,Serie A,32,0.0,0.0,0.0,0.0,0.0,0.30385,0.2153499999999999,0.5103500000000001,0.30385,0.5103500000000001
