,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
245,Oscar Bobb,no NOR,FW,Manchester City,eng Premier League,20-080,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
255,Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36-152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
265,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23-261,0.20,0.20,0.40,0.20,0.40,0.06,0.14,0.20,0.06,0.20
268,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32-178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
279,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,27-151,0.18,0.73,0.91,0.18,0.91,0.16,0.53,0.69,0.16,0.69
304,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31-144,0.17,0.00,0.17,0.17,0.17,0.09,0.02,0.11,0.09,0.11
310,Jamie Bynoe-Gittens,eng ENG,"DF,FW",Dortmund,de Bundesliga,19-053,0.00,0.00,0.00,0.00,0.00,0.40,0.03,0.43,0.40,0.43
319,Jens Cajuste,se SWE,MF,Napoli,it Serie A,24-051,0.00,0.96,0.96,0.00,0.96,0.13,0.11,0.25,0.13,0.25
320,Davide Calabria,it ITA,DF,Milan,it Serie A,26-298,0.00,0.27,0.27,0.00,0.27,0.05,0.09,0.14,0.05,0.14
324,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-234,0.35,0.00,0.35,0.00,0.00,0.36,0.17,0.53,0.08,0.25
330,Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,20-324,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10
335,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-261,0.26,0.26,0.51,0.00,0.26,0.21,0.09,0.30,0.01,0.10
338,João Cancelo,pt POR,DF,Barcelona,es La Liga,29-126,0.46,0.23,0.69,0.46,0.69,0.12,0.32,0.43,0.12,0.43
356,Carlos,br BRA,DF,Inter,it Serie A,24-266,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23
360,Yannick Carrasco,be BEL,DF,Atlético Madrid,es La Liga,30-026,0.00,0.41,0.41,0.00,0.41,0.03,0.10,0.12,0.03,0.12
362,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31-262,0.00,0.21,0.21,0.00,0.21,0.07,0.22,0.29,0.07,0.29
364,Fabio Carvalho,pt POR,MF,RB Leipzig,de Bundesliga,21-031,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
366,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25-228,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
367,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,31-219,0.18,0.00,0.18,0.18,0.18,0.25,0.04,0.29,0.25,0.29
374,Valentín Castellanos,ar ARG,"FW,MF",Lazio,it Serie A,24-362,0.00,0.00,0.00,0.00,0.00,1.44,0.07,1.51,1.44,1.51
377,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,29-055,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
381,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,27-054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,27-173,0.00,0.19,0.19,0.00,0.19,0.03,0.07,0.10,0.03,0.10
409,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24-131,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
422,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27-109,0.00,0.29,0.29,0.00,0.29,0.09,0.56,0.65,0.09,0.65
432,Jesús Corona,mx MEX,"MF,DF",Sevilla,es La Liga,30-267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28-205,1.15,1.15,2.31,1.15,2.31,0.37,0.21,0.58,0.37,0.58
436,Oscar Cortés,co COL,MF,Lens,fr Ligue 1,19-301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438,David Pereira da Costa,pt POR,MF,Lens,fr Ligue 1,22-268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453,Juan Cuadrado,co COL,DF,Inter,it Serie A,35-127,0.00,1.38,1.38,0.00,1.38,0.09,0.29,0.38,0.09,0.38
465,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-196,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
472,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25-011,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
477,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-302,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
480,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,20-282,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31
482,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-332,0.00,0.64,0.64,0.00,0.64,0.01,0.26,0.26,0.01,0.26
487,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,32-094,0.00,0.00,0.00,0.00,0.00,0.08,0.83,0.91,0.08,0.91
489,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,29-129,0.00,0.81,0.81,0.00,0.81,0.16,0.34,0.51,0.16,0.51
502,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,26-138,0.00,0.28,0.28,0.00,0.28,0.38,0.31,0.68,0.38,0.68
513,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30-057,0.17,0.33,0.50,0.17,0.50,0.09,0.27,0.36,0.09,0.36
526,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26-139,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
529,Brahim Díaz,es ESP,"MF,FW",Real Madrid,es La Liga,24-058,0.94,0.00,0.94,0.94,0.94,0.24,0.26,0.50,0.24,0.50
535,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-324,0.22,0.65,0.87,0.22,0.87,0.13,0.34,0.47,0.13,0.47
542,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-136,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11
548,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
553,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-092,0.20,0.00,0.20,0.20,0.20,0.04,0.01,0.05,0.04,0.05
556,Jeremy Doku,be BEL,FW,Manchester City,eng Premier League,21-126,0.42,0.00,0.42,0.42,0.42,0.04,0.39,0.43,0.04,0.43
562,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
565,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-285,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
589,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27-165,0.47,0.47,0.94,0.47,0.94,0.14,0.39,0.53,0.14,0.53
601,Ederson,br BRA,GK,Manchester City,eng Premier League,30-044,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
607,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21-102,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
613,Elif Elmas,mk MKD,FW,Napoli,it Serie A,24-006,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16
614,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29-186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
619,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26-121,0.46,0.00,0.46,0.46,0.46,0.45,0.00,0.45,0.45,0.45
622,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-228,0.28,0.28,0.57,0.28,0.57,0.10,0.10,0.20,0.10,0.20
630,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35-270,0.00,0.95,0.95,0.00,0.95,0.00,0.10,0.10,0.00,0.10
632,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21-287,0.00,0.00,0.00,0.00,0.00,0.28,0.09,0.37,0.28,0.37
642,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20-334,0.00,0.00,0.00,0.00,0.00,1.34,0.00,1.34,1.34,1.34
647,João Félix,pt POR,"FW,MF",Barcelona,es La Liga,23-324,0.30,0.30,0.61,0.30,0.61,0.64,0.21,0.85,0.64,0.85
653,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,29-022,0.33,0.17,0.50,0.17,0.33,0.42,0.46,0.88,0.28,0.75
658,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27-131,0.35,0.00,0.35,0.35,0.35,0.13,0.00,0.13,0.13,0.13
662,Fernando,br BRA,MF,Sevilla,es La Liga,36-067,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
669,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32-203,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11
670,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23-125,0.21,0.63,0.85,0.21,0.85,0.18,0.25,0.43,0.18,0.43
678,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31-342,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
684,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28-171,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.27,0.03,0.27
685,Davide Frattesi,it ITA,MF,Inter,it Serie A,23-343,0.49,0.00,0.49,0.49,0.49,0.63,0.00,0.63,0.63,0.63
694,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,27-041,0.00,0.21,0.21,0.00,0.21,0.21,0.10,0.31,0.21,0.31
696,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30-233,0.45,0.45,0.90,0.45,0.90,0.41,0.15,0.55,0.41,0.55
700,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,28-315,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
713,Eric García,es ESP,DF,Barcelona,es La Liga,22-264,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
715,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,24-047,0.00,0.40,0.40,0.00,0.40,0.04,0.22,0.26,0.04,0.26
720,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,eng Premier League,19-091,0.00,0.00,0.00,0.00,0.00,0.20,0.03,0.23,0.20,0.23
725,Federico Gattoni,ar ARG,DF,Sevilla,es La Liga,24-226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
726,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,19-056,0.15,0.15,0.31,0.15,0.31,0.09,0.12,0.21,0.09,0.21
741,Olivier Giroud,fr FRA,FW,Milan,it Serie A,37-000,1.04,0.78,1.82,0.26,1.04,0.81,0.35,1.16,0.19,0.54
743,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,28-078,0.00,0.00,0.00,0.00,0.00,0.64,0.31,0.95,0.64,0.95
754,Sergio Gómez,es ESP,FW,Manchester City,eng Premier League,23-026,0.00,5.63,5.63,0.00,5.63,0.00,1.06,1.06,0.00,1.06
762,Urko González,es ESP,MF,Real Sociedad,es La Liga,22-194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
763,Anthony Gordon,eng ENG,FW,Newcastle Utd,eng Premier League,22-218,0.40,0.40,0.80,0.40,0.80,0.33,0.33,0.66,0.33,0.66
764,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,28-236,0.26,0.00,0.26,0.26,0.26,0.26,0.02,0.27,0.26,0.27
766,Robin Gosens,de GER,DF,Union Berlin,de Bundesliga,29-087,0.75,0.00,0.75,0.75,0.75,0.10,0.06,0.16,0.10,0.16
771,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,30-310,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
775,Ryan Gravenberch,nl NED,FW,Bayern Munich,de Bundesliga,21-137,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.92,0.00,1.92
776,Jack Grealish,eng ENG,FW,Manchester City,eng Premier League,28-020,0.00,0.49,0.49,0.00,0.49,0.18,0.22,0.41,0.18,0.41
780,Antoine Griezmann,fr FRA,FW,Atlético Madrid,es La Liga,32-193,0.56,0.00,0.56,0.56,0.56,0.17,0.17,0.34,0.17,0.34
790,Nemanja Gudelj,rs SRB,DF,Sevilla,es La Liga,31-318,0.20,0.00,0.20,0.20,0.20,0.08,0.00,0.08,0.08,0.08
793,Mattéo Guendouzi,fr FRA,MF,Lazio,it Serie A,24-169,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
799,Morgan Guilavogui,gn GUI,"FW,MF",Lens,fr Ligue 1,25-204,0.94,0.00,0.94,0.94,0.94,0.42,0.23,0.64,0.42,0.64
802,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,25-318,0.17,0.17,0.34,0.17,0.34,0.13,0.11,0.24,0.13,0.24
808,İlkay Gündoğan,de GER,MF,Barcelona,es La Liga,32-341,0.00,0.28,0.28,0.00,0.28,0.10,0.29,0.39,0.10,0.39
815,Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,21-250,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17
818,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,23-071,1.36,0.17,1.53,1.19,1.36,1.34,0.20,1.54,1.07,1.27
820,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,29-181,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.16,0.09,0.16
826,Massadio Haïdara,ml MLI,DF,Lens,fr Ligue 1,30-302,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
828,Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,fr Ligue 1,24-330,0.34,0.17,0.51,0.34,0.51,0.30,0.23,0.53,0.30,0.53
829,Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,19-022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
830,Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,29-100,0.00,0.00,0.00,0.00,0.00,0.21,0.16,0.37,0.21,0.37
841,Kai Havertz,de GER,"MF,FW",Arsenal,eng Premier League,24-111,0.00,0.00,0.00,0.00,0.00,0.19,0.15,0.34,0.19,0.34
842,Thorgan Hazard,be BEL,DF,Dortmund,de Bundesliga,30-185,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
848,Benjamin Henrichs,de GER,DF,RB Leipzig,de Bundesliga,26-219,0.20,0.20,0.40,0.20,0.40,0.15,0.10,0.25,0.15,0.25
854,Mario Hermoso,es ESP,DF,Atlético Madrid,es La Liga,28-104,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
858,Lucas Hernández,fr FRA,DF,Paris S-G,fr Ligue 1,27-228,0.00,0.18,0.18,0.00,0.18,0.01,0.14,0.14,0.01,0.14
860,Theo Hernández,fr FRA,DF,Milan,it Serie A,25-359,0.21,0.00,0.21,0.21,0.21,0.11,0.07,0.18,0.11,0.18
877,Benedict Hollerbach,de GER,"MF,FW",Union Berlin,de Bundesliga,22-136,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.18,0.03,0.18
889,Mats Hummels,de GER,DF,Dortmund,de Bundesliga,34-288,0.44,0.00,0.44,0.44,0.44,0.51,0.01,0.52,0.51,0.52
891,Elseid Hysaj,al ALB,DF,Lazio,it Serie A,29-222,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
893,Rasmus Højlund,dk DEN,FW,Manchester Utd,eng Premier League,20-238,0.00,0.00,0.00,0.00,0.00,0.24,0.04,0.28,0.24,0.28
903,Ciro Immobile,it ITA,FW,Lazio,it Serie A,33-222,0.36,0.00,0.36,0.18,0.18,0.37,0.14,0.51,0.23,0.37
907,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,24-009,0.91,0.00,0.91,0.91,0.91,0.60,0.02,0.62,0.60,0.62
908,Gustav Isaksen,dk DEN,FW,Lazio,it Serie A,22-164,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18
930,Adnan Januzaj,be BEL,FW,Sevilla,es La Liga,28-237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
938,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,26-180,0.77,0.00,0.77,0.77,0.77,1.08,0.02,1.09,1.08,1.09
939,Juan Jesus,br BRA,DF,Napoli,it Serie A,32-112,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
942,Joelinton,br BRA,MF,Newcastle Utd,eng Premier League,27-047,0.00,0.00,0.00,0.00,0.00,0.11,0.10,0.21,0.11,0.21
948,Frenkie de Jong,nl NED,"MF,DF",Barcelona,es La Liga,26-141,0.19,0.00,0.19,0.19,0.19,0.08,0.09,0.18,0.08,0.18
949,Joan Jordán,es ESP,MF,Sevilla,es La Liga,29-086,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
950,Jorginho,it ITA,MF,Arsenal,eng Premier League,31-284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
952,Joselu,es ESP,FW,Real Madrid,es La Liga,33-187,0.78,0.26,1.04,0.78,1.04,0.86,0.20,1.05,0.86,1.05
955,Luka Jović,rs SRB,FW,Milan,it Serie A,25-281,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23
963,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,23-080,0.41,0.00,0.41,0.41,0.41,0.22,0.00,0.22,0.22,0.22
964,Josip Juranović,hr CRO,"DF,MF",Union Berlin,de Bundesliga,28-045,0.00,0.67,0.67,0.00,0.67,0.03,0.30,0.34,0.03,0.34
981,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,23-117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
982,Daichi Kamada,jp JPN,MF,Lazio,it Serie A,27-056,0.35,0.35,0.69,0.35,0.69,0.14,0.07,0.21,0.14,0.21
989,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,32-356,0.23,0.00,0.23,0.23,0.23,0.02,0.03,0.05,0.02,0.05
990,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,30-064,1.44,0.62,2.06,1.03,1.65,1.14,0.27,1.41,0.82,1.09
991,Lee Kang-in,kr KOR,FW,Paris S-G,fr Ligue 1,22-223,0.00,0.00,0.00,0.00,0.00,0.11,0.16,0.27,0.11,0.27
1000,Mikkel Kaufmann,dk DEN,"DF,FW",Union Berlin,de Bundesliga,22-270,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
1012,Aljoscha Kemlein,de GER,MF,Union Berlin,de Bundesliga,19-059,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
1021,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,28-234,0.00,0.67,0.67,0.00,0.67,0.07,0.32,0.39,0.07,0.39
1022,Jakub Kiwior,pl POL,DF,Arsenal,eng Premier League,23-227,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41
1023,Simon Kjær,dk DEN,DF,Milan,it Serie A,34-188,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1024,Davy Klaassen,nl NED,MF,Inter,it Serie A,30-221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1027,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,27-119,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
1030,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,31-131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1031,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25-298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
