,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Brenden Aaronson,us USA,MF,Union Berlin,de Bundesliga,22-343,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11
4,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-188,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
10,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-232,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
11,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-337,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
18,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21-255,0.00,0.00,0.00,0.00,0.00,0.43,0.05,0.48,0.43,0.48
21,Yacine Adli,fr FRA,MF,Milan,it Serie A,23-063,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
27,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30-157,0.00,0.00,0.00,0.00,0.00,0.15,0.16,0.31,0.15,0.31
36,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,28-073,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
37,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-224,0.31,0.00,0.31,0.31,0.31,0.12,0.17,0.29,0.12,0.29
45,David Alaba,at AUT,DF,Real Madrid,es La Liga,31-098,0.00,0.16,0.16,0.00,0.16,0.04,0.06,0.10,0.04,0.10
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,31-002,0.33,0.17,0.50,0.33,0.50,0.10,0.11,0.21,0.10,0.21
54,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19-254,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
60,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-232,0.23,0.00,0.23,0.23,0.23,0.23,0.09,0.33,0.23,0.33
62,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-276,0.00,0.00,0.00,0.00,0.00,0.06,0.27,0.33,0.06,0.33
66,Julián Álvarez,ar ARG,MF,Manchester City,eng Premier League,23-242,0.36,0.53,0.89,0.36,0.89,0.43,0.19,0.62,0.43,0.62
76,Sofyan Amrabat,ma MAR,DF,Manchester Utd,eng Premier League,27-040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,20-328,0.00,0.36,0.36,0.00,0.36,0.03,0.31,0.34,0.03,0.34
80,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-168,0.00,0.68,0.68,0.00,0.68,0.13,0.22,0.36,0.13,0.36
89,Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,23-218,0.00,0.00,0.00,0.00,0.00,0.18,0.24,0.42,0.18,0.42
95,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-207,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.15,0.01,0.15
102,Marko Arnautović,at AUT,FW,Inter,it Serie A,34-164,0.00,0.86,0.86,0.00,0.86,0.16,0.82,0.99,0.16,0.99
107,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28-362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Marco Asensio,es ESP,FW,Paris S-G,fr Ligue 1,27-252,0.78,0.39,1.16,0.78,1.16,0.30,0.37,0.67,0.30,0.67
111,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-205,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
121,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22-305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-090,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
128,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-033,0.00,0.00,0.00,0.00,0.00,0.18,0.20,0.38,0.18,0.38
135,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-172,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
146,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-347,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
163,Bradley Barcola,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,21-028,0.00,0.00,0.00,0.00,0.00,0.51,0.14,0.65,0.51,0.65
165,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-235,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
169,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,25-295,0.48,0.48,0.96,0.48,0.96,0.35,0.42,0.76,0.35,0.76
172,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21-277,0.74,0.00,0.74,0.74,0.74,0.44,0.01,0.45,0.44,0.45
173,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20-107,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
174,Davide Bartesaghi,it ITA,DF,Milan,it Serie A,17-275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24-170,0.00,0.00,0.00,0.00,0.00,0.03,0.21,0.24,0.03,0.24
184,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,24-060,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
188,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28-233,0.00,0.56,0.56,0.00,0.56,0.25,0.24,0.49,0.25,0.49
190,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32-239,0.87,0.00,0.87,0.87,0.87,0.59,0.05,0.64,0.59,0.64
199,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,es La Liga,20-093,0.85,0.17,1.02,0.85,1.02,0.37,0.11,0.48,0.37,0.48
209,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28-167,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14
241,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32-151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
