,Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
308,Patrick Berg,no NOR,"MF,FW",Lens,fr Ligue 1,24,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
314,Juan Bernat,es ESP,"DF,MF",Paris S-G,fr Ligue 1,29,0.05,0.22,0.27,0.05,0.27,0.05,0.17,0.21,0.05,0.21
317,Marco Bertini,it ITA,MF,Lazio,it Serie A,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
346,Daley Blind,nl NED,"DF,MF",Bayern Munich,de Bundesliga,32,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
368,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,22,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
375,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
376,Ismaëlben Boura,fr FRA,"DF,FW",Lens,fr Ligue 1,21,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26
387,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,26,0.34,0.30,0.64,0.34,0.64,0.19,0.34,0.54,0.19,0.54
402,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,29,0.15,0.25,0.41,0.15,0.41,0.13,0.14,0.27,0.13,0.27
413,Adam Buksa,pl POL,"FW,MF",Lens,fr Ligue 1,26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
422,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,30,0.03,0.00,0.03,0.03,0.03,0.06,0.04,0.10,0.06,0.10
424,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,34,0.00,0.15,0.15,0.00,0.15,0.02,0.11,0.13,0.02,0.13
428,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,17,0.51,0.17,0.68,0.51,0.68,0.41,0.12,0.53,0.41,0.53
431,Jimmy Cabot,fr FRA,"DF,MF",Lens,fr Ligue 1,28,0.00,0.18,0.18,0.00,0.18,0.05,0.37,0.43,0.05,0.43
440,Davide Calabria,it ITA,DF,Milan,it Serie A,25,0.05,0.21,0.27,0.05,0.27,0.06,0.09,0.15,0.06,0.15
447,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,28,0.11,0.23,0.34,0.08,0.30,0.12,0.19,0.31,0.09,0.28
457,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,19,0.00,0.04,0.04,0.00,0.04,0.04,0.07,0.10,0.04,0.10
463,Emre Can,de GER,MF,Dortmund,de Bundesliga,28,0.09,0.05,0.14,0.05,0.09,0.08,0.06,0.14,0.04,0.10
465,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,20,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28
466,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12
468,João Cancelo,pt POR,"DF,FW",Bayern Munich,de Bundesliga,28,0.09,0.36,0.44,0.09,0.44,0.06,0.21,0.26,0.06,0.26
481,Valentin Carboni,ar ARG,"MF,DF",Inter,it Serie A,17,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
492,Carmona,es ESP,DF,Sevilla,es La Liga,20,0.34,0.17,0.51,0.34,0.51,0.14,0.06,0.20,0.14,0.20
495,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,es La Liga,28,0.27,0.12,0.39,0.23,0.35,0.31,0.16,0.47,0.28,0.44
496,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,30,0.00,0.10,0.10,0.00,0.10,0.04,0.10,0.14,0.04,0.14
500,Nicolò Casale,it ITA,DF,Lazio,it Serie A,24,0.04,0.04,0.07,0.04,0.07,0.02,0.01,0.03,0.02,0.03
501,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,30,0.17,0.13,0.30,0.17,0.30,0.14,0.13,0.28,0.14,0.28
502,Casemiro,br BRA,MF,Real Madrid,es La Liga,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
513,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,27,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.06,0.01,0.06
518,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,25,0.00,0.23,0.23,0.00,0.23,0.05,0.12,0.17,0.05,0.17
532,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
541,Shea Charles,nir NIR,DF,Manchester City,eng Premier League,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
556,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26,0.05,0.05,0.10,0.05,0.10,0.05,0.03,0.08,0.05,0.08
573,Alexis Claude-Maurice,fr FRA,"MF,FW",Lens,fr Ligue 1,24,0.75,0.45,1.19,0.75,1.19,0.39,0.19,0.58,0.39,0.58
591,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,26,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65
605,Alex Cordaz,it ITA,GK,Inter,it Serie A,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
607,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,29,0.81,0.00,0.81,0.81,0.81,0.37,0.20,0.57,0.37,0.57
608,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,27,0.56,0.06,0.62,0.56,0.62,0.44,0.22,0.66,0.44,0.66
609,Joaquín Correa,ar ARG,FW,Inter,it Serie A,27,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45
613,David Pereira da Costa,pt POR,"MF,FW",Lens,fr Ligue 1,21,0.06,0.19,0.26,0.06,0.26,0.18,0.26,0.44,0.18,0.44
622,Soumaïla Coulibaly,fr FRA,DF,Dortmund,de Bundesliga,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
625,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
645,Matheus Cunha,br BRA,"FW,MF",Atlético Madrid,es La Liga,23,0.00,0.48,0.48,0.00,0.48,0.34,0.20,0.53,0.34,0.53
648,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,33,0.00,0.25,0.25,0.00,0.25,0.03,0.08,0.11,0.03,0.11
656,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,26,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.24,0.12,0.24
659,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,23,0.04,0.08,0.13,0.04,0.13,0.10,0.08,0.18,0.10,0.18
669,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,23,0.03,0.06,0.08,0.03,0.08,0.07,0.03,0.10,0.07,0.10
676,Matteo Darmian,it ITA,DF,Inter,it Serie A,32,0.04,0.09,0.13,0.04,0.13,0.04,0.09,0.13,0.04,0.13
680,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,21,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24
686,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,31,0.26,0.60,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72
687,Charles De Ketelaere,be BEL,"MF,FW",Milan,it Serie A,21,0.00,0.08,0.08,0.00,0.08,0.16,0.16,0.32,0.16,0.32
690,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28,0.09,0.33,0.42,0.09,0.42,0.07,0.26,0.34,0.07,0.34
702,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,30,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
710,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,25,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56
716,Diego Demme,de GER,MF,Napoli,it Serie A,30,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
730,Sergiño Dest,us USA,DF,Milan,it Serie A,21,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17
737,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,28,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.20,0.07,0.20
745,Abdou Diallo,sn SEN,"DF,MF",RB Leipzig,de Bundesliga,26,0.19,0.00,0.19,0.19,0.19,0.07,0.02,0.09,0.07,0.09
756,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
759,Brahim Díaz,es ESP,"MF,FW",Milan,it Serie A,22,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54
767,Federico Dimarco,it ITA,DF,Inter,it Serie A,24,0.17,0.13,0.30,0.17,0.30,0.13,0.30,0.43,0.13,0.43
789,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
794,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24,0.20,0.04,0.24,0.20,0.24,0.08,0.02,0.09,0.08,0.09
796,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
799,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,24,0.00,0.46,0.46,0.00,0.46,0.02,0.18,0.20,0.02,0.20
808,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
810,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,24,0.08,0.00,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14
828,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
835,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26,0.04,0.16,0.20,0.04,0.20,0.15,0.20,0.35,0.15,0.35
841,Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,16,0.00,0.00,0.00,0.00,0.00,0.06,0.83,0.89,0.06,0.89
845,Edin Džeko,ba BIH,FW,Inter,it Serie A,36,0.47,0.16,0.62,0.47,0.62,0.50,0.17,0.67,0.50,0.67
850,Ederson,br BRA,GK,Manchester City,eng Premier League,28,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
863,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20,0.23,0.31,0.55,0.23,0.55,0.29,0.13,0.42,0.29,0.42
865,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20,0.00,0.21,0.21,0.00,0.21,0.15,0.19,0.34,0.15,0.34
869,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,0.33,0.17,0.50,0.28,0.44,0.22,0.11,0.33,0.18,0.29
870,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
871,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,0.00,0.06,0.06,0.00,0.06,0.04,0.06,0.11,0.04,0.11
879,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,0.43,0.05,0.49,0.43,0.49,0.44,0.06,0.50,0.44,0.50
882,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,0.04,0.35,0.40,0.04,0.40,0.22,0.19,0.40,0.22,0.40
917,Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69
925,Felipe,br BRA,DF,Atlético Madrid,es La Liga,33,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
928,João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,22,0.55,0.42,0.97,0.55,0.97,0.39,0.20,0.59,0.39,0.59
933,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,27,0.22,0.22,0.43,0.16,0.38,0.25,0.45,0.71,0.21,0.66
939,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26,0.14,0.00,0.14,0.14,0.14,0.34,0.08,0.42,0.34,0.42
945,Fernando,br BRA,"MF,DF",Sevilla,es La Liga,35,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.05,0.01,0.05
959,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,31,0.00,0.00,0.00,0.00,0.00,0.34,0.21,0.54,0.34,0.54
960,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,22,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52
962,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,27,0.21,0.15,0.35,0.18,0.32,0.27,0.11,0.38,0.22,0.33
970,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,30,0.36,0.24,0.61,0.24,0.49,0.30,0.14,0.43,0.20,0.34
974,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
981,Przemysław Frankowski,pl POL,"DF,MF",Lens,fr Ligue 1,27,0.16,0.10,0.25,0.06,0.16,0.13,0.22,0.35,0.06,0.27
982,Ryan Fraser,sct SCO,FW,Newcastle Utd,eng Premier League,28,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20
985,Fred,br BRA,MF,Manchester Utd,eng Premier League,29,0.14,0.14,0.29,0.14,0.29,0.14,0.21,0.35,0.14,0.35
