Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Oleksandr Zubkov,ua UKR,"MF,FW",27-079,9,9,652.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches
Dmytro Riznyk,ua UKR,GK,24-264,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dmytro Kryskiv,ua UKR,MF,23-015,9,8,673.0,7.5,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.27,0.4,0.67,0.27,0.67,Matches
Danylo Sikan,ua UKR,"FW,MF",22-188,9,8,591.0,6.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.15,0.3,0.46,0.15,0.46,Matches
Giorgi Gocholeishvili,ge GEO,DF,22-249,7,7,532.0,5.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.34,0.34,0.0,0.34,Matches
Oleksii Kashchuk,ua UKR,"MF,FW",23-114,7,7,469.0,5.2,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.58,0.19,0.77,0.58,0.77,Matches
Mykola Matviyenko,ua UKR,DF,27-172,6,6,540.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches
Taras Stepanenko,ua UKR,MF,34-074,6,6,473.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Irakli Azarov,ge GEO,DF,21-242,5,5,442.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Artem Bondarenko,ua UKR,MF,23-061,5,5,378.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.24,0.24,0.0,0.24,Matches
Dmytro Topalov,ua UKR,DF,25-223,4,4,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduard Kozik,ua UKR,DF,20-185,5,4,341.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
