Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Diogo Costa,pt POR,GK,24-032,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mehdi Taremi,ir IRN,FW,31-095,8,7,649.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,12.0,22.0,41.0,0.14,0.14,0.28,0.14,0.28,0.23,0.1,0.33,0.23,0.33,Matches
Galeno,br BRA,"MF,DF",25-364,8,7,636.0,7.1,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.5,1.0,1.2,2.2,29.0,16.0,69.0,0.14,0.14,0.28,0.0,0.14,0.36,0.17,0.53,0.14,0.31,Matches
João Mário Lopes,pt POR,DF,23-291,7,7,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,29.0,23.0,57.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Matches
Pepê,br BRA,"MF,DF",26-239,8,6,571.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,2.2,17.0,46.0,59.0,0.0,0.16,0.16,0.0,0.16,0.19,0.16,0.35,0.19,0.35,Matches
Stephen Eustáquio,ca CAN,MF,26-304,8,6,561.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,3.0,42.0,12.0,0.16,0.0,0.16,0.16,0.16,0.12,0.02,0.15,0.12,0.15,Matches
Wendell,br BRA,DF,30-093,7,5,541.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.2,0.2,0.6,0.8,19.0,34.0,36.0,0.17,0.17,0.33,0.17,0.33,0.03,0.1,0.13,0.03,0.13,Matches
Fábio Cardoso,pt POR,DF,29-185,5,5,378.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.1,0.4,10.0,50.0,1.0,0.0,0.24,0.24,0.0,0.24,0.06,0.03,0.09,0.06,0.09,Matches
Iván Marcano,es ESP,DF,36-120,5,5,367.0,4.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.1,1.4,6.0,45.0,0.0,0.49,0.0,0.49,0.49,0.49,0.32,0.03,0.35,0.32,0.35,Matches
David Carmo,pt POR,DF,24-094,4,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.1,0.1,3.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Nicolás González,es ESP,MF,21-291,5,4,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,1.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.12,0.03,0.12,Matches
Alan Varela,ar ARG,MF,22-109,5,4,314.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches
Toni Martínez,es ESP,FW,26-113,6,3,259.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,3.0,1.0,16.0,0.69,0.0,0.69,0.69,0.69,0.31,0.12,0.43,0.31,0.43,Matches
Ivan Jaime Pajuelo,es ESP,MF,23-025,5,2,196.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,6.0,15.0,8.0,0.46,0.0,0.46,0.46,0.46,0.24,0.11,0.35,0.24,0.35,Matches
Pepe,pt POR,DF,40-237,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.05,0.05,0.0,0.05,Matches
André Franco,pt POR,"MF,FW",25-192,5,2,175.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.4,1.5,2.0,13.0,11.0,0.0,0.51,0.51,0.0,0.51,0.09,0.71,0.79,0.09,0.79,Matches
Evanilson,br BRA,FW,24-015,3,2,134.0,1.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.7,0.1,0.8,5.0,5.0,13.0,1.34,0.0,1.34,1.34,1.34,0.53,0.09,0.62,0.48,0.56,Matches
Zaidu Sanusi,ng NGA,DF,26-130,2,2,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Romário Baró,pt POR,"MF,FW",23-269,4,2,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,2.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Fran Navarro,es ESP,"FW,MF",25-260,5,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.3,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.56,0.13,0.69,0.56,0.69,Matches
Gonçalo Borges,pt POR,"MF,DF",22-206,6,1,160.0,1.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.4,1.5,16.0,6.0,37.0,0.0,1.13,1.13,0.0,1.13,0.04,0.81,0.85,0.04,0.85,Matches
Zé Pedro Figueiredo,pt POR,DF,26-137,2,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Otávio,pt POR,"MF,FW",28-254,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Marko Grujić,rs SRB,MF,27-191,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danny Loader,eng ENG,"FW,DF",23-054,2,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
Francisco Conceição,pt POR,"FW,MF",20-311,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.77,0.07,0.84,0.77,0.84,Matches
Jorge Eduardo Sánchez,mx MEX,DF,25-315,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bernardo Folha,pt POR,MF,21-212,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuel Portugal,br BRA,GK,29-206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cláudio Ramos,pt POR,GK,31-339,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.9,8,88,720.0,8.0,11.0,9.0,20.0,10.0,1.0,2.0,30.0,3.0,12.6,11.0,9.0,20.1,176.0,424.0,419.0,1.37,1.13,2.5,1.25,2.37,1.58,1.13,2.71,1.38,2.51,
Opponent Total,,,27.0,8,88,720.0,8.0,6.0,3.0,9.0,5.0,1.0,1.0,29.0,0.0,6.2,5.7,4.7,10.4,102.0,197.0,195.0,0.75,0.37,1.13,0.62,1.0,0.78,0.58,1.36,0.72,1.3,
