Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fredrik Aursnes,no NOR,DF,27-316,8,8,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,1.6,1.9,23.0,51.0,88.0,0.12,0.12,0.25,0.12,0.25,0.05,0.19,0.24,0.05,0.24,Matches
Nicolás Otamendi,ar ARG,DF,35-252,8,8,712.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.6,17.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Rafa Silva,pt POR,MF,30-158,8,8,711.0,7.9,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,3.9,3.9,3.7,7.5,42.0,59.0,88.0,0.38,0.51,0.89,0.38,0.89,0.49,0.47,0.95,0.49,0.95,Matches
António Silva,pt POR,DF,19-357,7,7,629.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.0,0.9,6.0,29.0,1.0,0.14,0.0,0.14,0.14,0.14,0.12,0.0,0.12,0.12,0.12,Matches
Alexander Bah,dk DEN,DF,25-317,7,7,559.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.8,11.0,35.0,39.0,0.16,0.0,0.16,0.16,0.16,0.08,0.05,0.13,0.08,0.13,Matches
Orkun Kökçü,tr TUR,MF,22-297,7,7,542.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.8,2.7,15.0,84.0,11.0,0.17,0.17,0.33,0.17,0.33,0.15,0.3,0.45,0.15,0.45,Matches
Ángel Di María,ar ARG,FW,35-250,6,6,494.0,5.5,5.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,3.8,3.0,0.9,3.9,23.0,36.0,68.0,0.91,0.18,1.09,0.73,0.91,0.7,0.16,0.86,0.55,0.71,Matches
João Mário,pt POR,FW,30-276,7,6,463.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,1.6,0.5,2.1,19.0,30.0,59.0,0.0,0.0,0.0,0.0,0.0,0.31,0.1,0.42,0.31,0.42,Matches
João Neves,pt POR,MF,19-025,8,5,481.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.1,8.0,40.0,8.0,0.0,0.19,0.19,0.0,0.19,0.08,0.11,0.2,0.08,0.2,Matches
Petar Musa,hr CRO,FW,25-232,7,5,350.0,3.9,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,2.9,2.9,1.0,3.8,3.0,9.0,16.0,0.77,0.26,1.03,0.77,1.03,0.73,0.25,0.98,0.73,0.98,Matches
Anatolii Trubin,ua UKR,GK,22-082,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Neres,br BRA,FW,26-233,8,3,351.0,3.9,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,2.3,3.6,34.0,23.0,50.0,0.26,0.77,1.03,0.26,1.03,0.33,0.6,0.93,0.33,0.93,Matches
Florentino Luís,pt POR,MF,24-064,6,3,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Samuel Soares,pt POR,GK,21-129,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arthur,br BRA,FW,25-180,6,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,3.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.31,0.28,0.31,Matches
David Jurásek,cz CZE,DF,23-076,4,2,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,6.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.3,0.06,0.3,Matches
Morato,br BRA,DF,22-114,3,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Chiquinho,pt POR,MF,28-095,5,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,4.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.31,0.39,0.08,0.39,Matches
Casper Tengstedt,dk DEN,FW,23-143,5,1,111.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,6.0,5.0,13.0,0.81,0.0,0.81,0.81,0.81,0.57,0.29,0.86,0.57,0.86,Matches
Odisseas Vlachodimos,gr GRE,GK,29-179,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Victor,br BRA,DF,25-097,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Bernat,es ESP,DF,30-235,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tomás Araújo,pt POR,"MF,DF",21-159,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonçalo Guedes,pt POR,FW,26-327,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76,Matches
Mihailo Ristić,rs SRB,DF,27-356,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,9.64,0.0,9.64,Matches
Tiago Gouveia,pt POR,FW,22-126,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andreas Schjelderup,no NOR,FW,19-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.7,8,88,720.0,8.0,17.0,12.0,29.0,16.0,1.0,1.0,19.0,1.0,18.3,17.5,14.3,31.8,225.0,511.0,509.0,2.12,1.5,3.62,2.0,3.5,2.28,1.79,4.08,2.18,3.98,
