Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
459,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25-208,1998,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
460,Mahmoud Dahoud,de GER,MF,Brighton,eng Premier League,27-293,1996,5,3,246,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.4,0,7,2,0.00,0.37,0.37,0.00,0.37,0.03,0.14,0.16,0.03,0.16,Matches
461,Ameen Al-Dakhil,be BEL,DF,Burnley,eng Premier League,21-229,2002,8,8,675,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,27,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
462,Thijs Dallinga,nl NED,"FW,MF",Toulouse,fr Ligue 1,23-079,2000,8,6,522,5.8,1,1,2,1,0,0,2,0,1.8,1.8,0.5,2.3,4,6,42,0.17,0.17,0.34,0.17,0.34,0.31,0.09,0.40,0.31,0.40,Matches
463,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,24-217,1999,7,6,565,6.3,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.8,19,34,26,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
464,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,23-110,2000,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
465,Flavius Daniliuc,at AUT,DF,Salernitana,it Serie A,22-177,2001,4,2,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
466,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,22-175,2001,4,4,283,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
467,Danilo,br BRA,DF,Juventus,it Serie A,32-098,1991,8,8,720,8.0,1,0,1,1,0,0,3,0,0.6,0.6,0.5,1.1,2,41,5,0.12,0.00,0.12,0.12,0.12,0.07,0.07,0.14,0.07,0.14,Matches
468,Arnaut Danjuma,nl NED,"FW,MF",Everton,eng Premier League,26-263,1997,7,3,362,4.0,1,0,1,1,0,0,0,0,1.8,1.8,0.3,2.2,13,4,27,0.25,0.00,0.25,0.25,0.25,0.46,0.08,0.54,0.46,0.54,Matches
469,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25-032,1998,9,9,810,9.0,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,35,0,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
470,Dante,br BRA,DF,Nice,fr Ligue 1,40-003,1983,8,8,720,8.0,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.3,1,45,1,0.00,0.12,0.12,0.00,0.12,0.02,0.01,0.03,0.02,0.03,Matches
471,Mohammed Daramy,dk DEN,FW,Reims,fr Ligue 1,21-287,2002,7,4,386,4.3,2,1,3,2,0,0,0,0,1.5,1.5,0.6,2.1,17,17,40,0.47,0.23,0.70,0.47,0.70,0.35,0.15,0.50,0.35,0.50,Matches
472,Sergi Darder,es ESP,MF,Mallorca,es La Liga,29-303,1993,9,6,629,7.0,0,3,3,0,0,0,1,0,0.1,0.1,2.1,2.2,21,31,15,0.00,0.43,0.43,0.00,0.43,0.02,0.30,0.32,0.02,0.32,Matches
473,Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24-168,1999,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
474,Matteo Darmian,it ITA,DF,Inter,it Serie A,33-323,1989,7,6,544,6.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,4,18,10,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
475,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25-020,1998,5,0,113,1.3,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.1,1,3,9,0.00,0.80,0.80,0.00,0.80,0.24,0.61,0.86,0.24,0.86,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,24-363,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
477,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,20-303,2002,7,5,350,3.9,0,0,0,0,0,0,0,0,1.4,1.4,0.2,1.6,13,5,42,0.00,0.00,0.00,0.00,0.00,0.35,0.06,0.41,0.35,0.41,Matches
478,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,23-280,2000,8,8,711,7.9,2,0,2,2,0,0,1,0,2.0,2.0,0.5,2.6,13,18,49,0.25,0.00,0.25,0.25,0.25,0.26,0.07,0.33,0.26,0.33,Matches
479,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,22-353,2000,7,7,604,6.7,0,3,3,0,0,0,0,0,0.2,0.2,1.2,1.4,39,43,39,0.00,0.45,0.45,0.00,0.45,0.03,0.19,0.21,0.03,0.21,Matches
480,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,30-180,1993,4,0,47,0.5,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,6,2,0.00,0.00,0.00,0.00,0.00,1.07,0.00,1.07,1.07,1.07,Matches
481,Tom Davies,eng ENG,MF,Sheffield Utd,eng Premier League,25-113,1998,3,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,4,1,0.00,0.00,0.00,0.00,0.00,0.14,0.11,0.25,0.14,0.25,Matches
482,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,28-154,1995,7,7,585,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,27,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
483,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,33-168,1990,8,8,700,7.8,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0,0,18,2,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.05,0.12,Matches
484,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,32-115,1991,1,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.08,0.83,0.91,0.08,0.91,Matches
485,Charles De Ketelaere,be BEL,FW,Atalanta,it Serie A,22-225,2001,8,5,489,5.4,1,2,3,1,0,0,0,0,1.4,1.4,1.4,2.8,25,28,43,0.18,0.37,0.55,0.18,0.55,0.26,0.26,0.52,0.26,0.52,Matches
486,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,29-150,1994,5,4,324,3.6,0,2,2,0,0,0,0,0,0.7,0.7,1.2,1.9,9,26,11,0.00,0.56,0.56,0.00,0.56,0.19,0.34,0.53,0.19,0.53,Matches
487,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,35-151,1988,6,3,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,22,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
488,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,25-138,1998,7,5,451,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,21,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
489,Koni De Winter,be BEL,DF,Genoa,it Serie A,21-131,2002,5,4,359,4.0,0,1,1,0,0,0,3,0,0.1,0.1,0.7,0.8,2,7,6,0.00,0.25,0.25,0.00,0.25,0.02,0.17,0.19,0.02,0.19,Matches
490,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,32-126,1991,4,1,122,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,3,7,0.00,0.00,0.00,0.00,0.00,0.24,0.01,0.25,0.24,0.25,Matches
491,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28-081,1995,7,3,222,2.5,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,2,10,3,0.00,0.00,0.00,0.00,0.00,0.40,0.02,0.43,0.40,0.43,Matches
492,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,27-206,1996,8,8,700,7.8,3,2,5,1,2,2,1,0,2.2,0.7,3.1,3.8,24,44,66,0.39,0.26,0.64,0.13,0.39,0.29,0.40,0.69,0.09,0.49,Matches
493,Thomas Delaine,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,31-211,1992,8,8,690,7.7,0,0,0,0,0,0,1,0,0.9,0.9,0.9,1.8,23,24,63,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches
494,Sacha Delaye,fr FRA,"FW,MF",Montpellier,fr Ligue 1,21-181,2002,4,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
495,Hannes Delcroix,be BEL,DF,Burnley,eng Premier League,24-235,1999,5,2,230,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,6,0,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.19,0.14,0.19,Matches
496,Olivier Deman,be BEL,"DF,FW",Werder Bremen,de Bundesliga,23-198,2000,4,3,304,3.4,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.4,5,15,10,0.30,0.30,0.59,0.30,0.59,0.05,0.08,0.12,0.05,0.12,Matches
497,Karamoko Dembele,sct SCO,"MF,FW",Brest,fr Ligue 1,20-241,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
498,Ousmane Dembélé,fr FRA,"MF,FW",Paris S-G,fr Ligue 1,26-159,1997,7,6,491,5.5,0,2,2,0,0,0,0,0,1.9,1.9,2.3,4.2,59,38,80,0.00,0.37,0.37,0.00,0.37,0.35,0.42,0.77,0.35,0.77,Matches
499,Jessy Deminguet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25-287,1998,6,6,434,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
500,Ermedin Demirović,ba BIH,MF,Augsburg,de Bundesliga,25-210,1998,7,7,608,6.8,4,3,7,4,0,0,1,0,3.4,3.4,1.8,5.2,5,14,34,0.59,0.44,1.04,0.59,1.04,0.51,0.26,0.77,0.51,0.77,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Sepp van den Berg,nl NED,DF,Mainz 05,de Bundesliga,21-305,2001,7,5,503,5.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2,18,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
502,Leander Dendoncker,be BEL,"MF,FW",Aston Villa,eng Premier League,28-189,1995,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
503,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27-118,1996,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
504,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-244,1995,7,6,534,5.9,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,7,22,25,0.00,0.17,0.17,0.00,0.17,0.03,0.07,0.10,0.03,0.10,Matches
505,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29-197,1994,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
506,Mattia Destro,it ITA,"FW,MF",Empoli,it Serie A,32-215,1991,4,1,112,1.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,1,7,0.00,0.00,0.00,0.00,0.00,0.22,0.02,0.23,0.22,0.23,Matches
507,Federico Di Francesco,it ITA,"FW,MF",Lecce,it Serie A,29-129,1994,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,6.00,0.00,6.00,6.00,6.00,0.53,0.00,0.53,0.53,0.53,Matches
508,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26-086,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
509,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30-078,1993,8,8,720,8.0,1,2,3,1,0,0,0,0,0.6,0.6,1.7,2.3,21,51,67,0.12,0.25,0.37,0.12,0.37,0.08,0.21,0.29,0.08,0.29,Matches
510,Alessandro Di Pardo,it ITA,"MF,DF",Cagliari,it Serie A,24-095,1999,6,0,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
511,Boulaye Dia,sn SEN,"FW,MF",Salernitana,it Serie A,26-339,1996,5,3,316,3.5,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,5,6,22,0.28,0.00,0.28,0.28,0.28,0.23,0.03,0.25,0.23,0.25,Matches
512,Moussa Diaby,fr FRA,"MF,FW",Aston Villa,eng Premier League,24-106,1999,8,8,620,6.9,2,3,5,2,0,0,0,0,1.6,1.6,2.6,4.2,22,21,46,0.29,0.44,0.73,0.29,0.73,0.23,0.37,0.61,0.23,0.61,Matches
513,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,es La Liga,26-306,1996,8,8,654,7.3,1,0,1,1,0,0,4,0,0.7,0.7,0.0,0.7,7,22,1,0.14,0.00,0.14,0.14,0.14,0.10,0.00,0.10,0.10,0.10,Matches
514,Mamadou Diakhon,fr FRA,FW,Reims,fr Ligue 1,18-029,2005,3,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
515,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-288,2001,6,6,540,6.0,2,1,3,2,0,0,2,0,0.6,0.6,0.1,0.8,7,26,4,0.33,0.17,0.50,0.33,0.50,0.11,0.02,0.13,0.11,0.13,Matches
516,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-355,2003,2,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
517,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,19-305,2003,7,5,384,4.3,1,0,1,1,0,1,1,0,1.0,0.3,0.1,0.4,6,5,19,0.23,0.00,0.23,0.23,0.23,0.25,0.02,0.27,0.06,0.08,Matches
518,Assane Diao,es ESP,FW,Betis,es La Liga,18-044,2005,3,3,226,2.5,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.6,8,6,25,0.80,0.00,0.80,0.80,0.80,0.19,0.07,0.26,0.19,0.26,Matches
519,Mouhamadou Diarra,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,19-291,2004,7,6,481,5.3,1,1,2,1,0,0,0,0,0.6,0.6,0.5,1.1,10,15,19,0.19,0.19,0.37,0.19,0.37,0.11,0.09,0.20,0.11,0.20,Matches
520,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-345,2000,7,6,480,5.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,3,23,2,0.00,0.19,0.19,0.00,0.19,0.02,0.11,0.12,0.02,0.12,Matches
521,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26-160,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,14,50,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches
522,Krépin Diatta,sn SEN,"DF,MF",Monaco,fr Ligue 1,24-238,1999,7,1,171,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,8,14,14,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
523,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30-121,1993,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
524,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,18-246,2005,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
525,Brahim Díaz,es ESP,"MF,FW",Real Madrid,es La Liga,24-079,1999,7,1,112,1.2,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.5,8,4,15,0.80,0.00,0.80,0.80,0.80,0.21,0.22,0.43,0.21,0.43,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Luis Díaz,co COL,"FW,MF",Liverpool,eng Premier League,26-281,1997,8,7,544,6.0,2,0,2,2,0,0,0,0,2.4,2.4,0.7,3.1,20,15,51,0.33,0.00,0.33,0.33,0.33,0.40,0.11,0.51,0.40,0.51,Matches
527,Víctor Díaz,es ESP,"DF,MF",Granada,es La Liga,35-131,1988,4,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
528,Famara Diedhiou,sn SEN,"MF,FW",Granada,es La Liga,30-310,1992,4,0,37,0.4,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,0,0,7,0.00,2.43,2.43,0.00,2.43,0.37,0.52,0.89,0.37,0.89,Matches
529,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-212,2000,2,2,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
530,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30-093,1993,8,8,710,7.9,0,2,2,0,0,0,4,0,0.2,0.2,1.4,1.5,10,27,81,0.00,0.25,0.25,0.00,0.25,0.02,0.17,0.19,0.02,0.19,Matches
531,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-345,1997,7,7,470,5.2,1,3,4,1,0,0,0,0,0.6,0.6,1.6,2.2,15,32,42,0.19,0.57,0.77,0.19,0.77,0.12,0.30,0.42,0.12,0.42,Matches
532,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-300,1993,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
533,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22-334,2000,6,5,409,4.5,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,19,20,23,0.22,0.22,0.44,0.22,0.44,0.26,0.26,0.52,0.26,0.52,Matches
534,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,21-312,2001,7,7,564,6.3,4,0,4,4,0,0,2,0,0.9,0.9,1.0,1.9,21,27,29,0.64,0.00,0.64,0.64,0.64,0.14,0.16,0.31,0.14,0.31,Matches
535,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22-195,2001,7,7,630,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,2,31,0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
536,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-285,1997,8,8,700,7.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,45,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
537,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23-134,2000,6,5,394,4.4,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,17,12,34,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.34,0.16,0.34,Matches
538,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20-157,2003,9,7,549,6.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,22,33,26,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches
539,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-339,1999,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
540,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25-224,1998,8,8,720,8.0,1,0,1,1,0,0,2,0,0.8,0.8,0.2,1.0,6,35,6,0.12,0.00,0.12,0.12,0.12,0.10,0.03,0.12,0.10,0.12,Matches
541,Djené,tg TOG,"MF,DF",Getafe,es La Liga,31-294,1991,9,8,681,7.6,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,7,28,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
542,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-244,1993,7,7,614,6.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,0,12,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
543,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-270,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
544,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-344,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
545,Ritsu Doan,jp JPN,"MF,FW",Freiburg,de Bundesliga,25-127,1998,7,5,418,4.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.9,14,14,28,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.10,0.20,Matches
546,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,20-291,2003,3,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,0,6,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
547,Dodô,br BRA,DF,Fiorentina,it Serie A,24-338,1998,5,4,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,12,26,10,0.00,0.00,0.00,0.00,0.00,0.02,0.22,0.24,0.02,0.24,Matches
548,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25-113,1998,7,7,630,7.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,24,3,0.14,0.00,0.14,0.14,0.14,0.03,0.01,0.04,0.03,0.04,Matches
549,Matt Doherty,ie IRL,"MF,FW",Wolves,eng Premier League,31-278,1992,4,0,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,4,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.14,0.08,0.14,Matches
550,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21-156,2002,4,4,297,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,5,9,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Jeremy Doku,be BEL,FW,Manchester City,eng Premier League,21-147,2002,5,4,327,3.6,1,0,1,1,0,0,1,0,0.3,0.3,1.1,1.3,35,8,53,0.28,0.00,0.28,0.28,0.28,0.07,0.29,0.36,0.07,0.36,Matches
552,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21-147,2002,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,11,5,19,0.81,0.00,0.81,0.81,0.81,0.48,0.16,0.64,0.48,0.64,Matches
553,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-252,2001,3,3,266,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
554,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19-253,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches
555,Nicolás Domínguez,ar ARG,MF,Nott'ham Forest,eng Premier League,25-115,1998,3,3,259,2.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,3,22,11,0.35,0.00,0.35,0.35,0.35,0.04,0.00,0.04,0.04,0.04,Matches
556,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25-115,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
