Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
23,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,23-015,2000,3,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26-288,1997,8,7,640,7.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,34,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
25,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26-126,1997,6,4,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,33,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21-254,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-205,1996,7,7,606,6.7,1,0,1,1,0,0,2,1,0.7,0.7,0.0,0.8,2,13,0,0.15,0.00,0.15,0.15,0.15,0.11,0.00,0.11,0.11,0.11,Matches
28,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30-178,1993,5,5,422,4.7,0,0,0,0,0,0,0,0,0.4,0.4,1.2,1.6,9,32,57,0.00,0.00,0.00,0.00,0.00,0.09,0.26,0.35,0.09,0.35,Matches
29,Naouirou Ahamada,fr FRA,"FW,MF",Crystal Palace,eng Premier League,21-206,2002,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24-209,1999,8,8,720,8.0,0,0,0,0,0,0,3,0,0.9,0.9,0.0,0.9,3,11,10,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28-022,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
32,Ola Aina,ng NGA,"DF,MF",Nott'ham Forest,eng Premier League,27-013,1996,5,5,397,4.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,9,11,4,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
33,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22-137,2001,8,7,514,5.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,9,26,19,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.10,0.09,0.10,Matches
34,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25-117,1998,4,3,289,3.2,2,0,2,2,0,0,0,0,1.5,1.5,0.0,1.5,5,2,12,0.62,0.00,0.62,0.62,0.62,0.45,0.01,0.46,0.45,0.46,Matches
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-187,1998,6,3,303,3.4,0,1,1,0,0,0,0,0,0.4,0.4,1.1,1.5,6,10,9,0.00,0.30,0.30,0.00,0.30,0.12,0.34,0.46,0.12,0.46,Matches
36,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-238,1994,5,3,317,3.5,1,0,1,1,0,2,0,0,1.9,0.4,0.3,0.7,1,3,23,0.28,0.00,0.28,0.28,0.28,0.55,0.10,0.65,0.10,0.20,Matches
37,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,28-094,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,26,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
38,Marley Aké,fr FRA,FW,Udinese,it Serie A,22-289,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-245,1995,7,5,462,5.1,1,0,1,1,0,0,0,0,0.8,0.8,0.5,1.4,6,28,3,0.19,0.00,0.19,0.19,0.19,0.16,0.11,0.26,0.16,0.26,Matches
