Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Omri Glazer,il ISR,GK,27-225,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksandar Dragović,at AUT,"DF,MF",32-230,9,9,764.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Marko Stamenic,nz NZL,MF,21-245,9,8,723.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Peter Olayinka,ng NGA,"FW,MF",27-338,9,8,717.0,8.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.38,0.13,0.5,0.38,0.5,Matches
Osman Bukari,gh GHA,"FW,MF",24-313,9,8,690.0,7.7,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.39,0.39,0.78,0.39,0.78,Matches
Srđan Mijailović,rs SRB,MF,29-346,9,8,679.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.27,0.13,0.27,Matches
Vladimir Lučić,rs SRB,FW,21-116,9,7,644.0,7.2,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.14,0.42,0.56,0.14,0.56,Matches
Jean-Philippe Krasso,ci CIV,FW,26-097,9,7,562.0,6.2,6.0,2.0,8.0,3.0,3.0,3.0,0.0,0.0,0.96,0.32,1.28,0.48,0.8,Matches
Stefan Mitrović,rs SRB,MF,21-068,7,7,482.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Kings Kangwa,zm ZAM,MF,24-199,8,6,363.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches
Milan Rodić,rs SRB,DF,32-203,6,4,421.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Mirko Ivanić,me MNE,MF,30-039,5,4,358.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.75,0.0,0.75,0.75,0.75,Matches
Miloš Degenek,au AUS,"DF,MF",29-177,6,4,349.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cherif Ndiaye,sn SEN,"FW,MF",27-272,3,3,233.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches
Hwang In-beom,kr KOR,MF,27-032,3,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nasser Djiga,bf BFA,DF,20-341,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
