Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus,br BRA,GK,31-095,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Victor Gomez,es ESP,DF,23-204,7,7,474.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,28.0,38.0,0.0,0.19,0.19,0.0,0.19,0.0,0.19,0.19,0.0,0.19,Matches
Almoatasem Al Musrati,ly LBY,MF,27-199,7,6,557.0,6.2,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4,0.6,0.3,0.9,4.0,60.0,3.0,0.32,0.0,0.32,0.16,0.16,0.22,0.06,0.28,0.09,0.15,Matches
Ricardo Horta,pt POR,"FW,MF",29-037,6,6,509.0,5.7,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,1.9,1.9,1.8,3.7,10.0,31.0,35.0,0.88,0.35,1.24,0.88,1.24,0.34,0.31,0.66,0.34,0.66,Matches
Bruma,pt POR,FW,28-363,7,6,487.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,0.3,1.9,27.0,31.0,53.0,0.18,0.0,0.18,0.18,0.18,0.29,0.06,0.35,0.29,0.35,Matches
José Fonte,pt POR,DF,39-304,6,5,535.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,5.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Simon Banza,,FW,27-070,8,5,494.0,5.5,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,4.3,4.3,0.5,4.8,2.0,7.0,42.0,1.09,0.18,1.28,1.09,1.28,0.78,0.09,0.87,0.78,0.87,Matches
Álvaro djaló,es ESP,"FW,MF",24-067,8,5,491.0,5.5,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,1.7,4.3,21.0,13.0,49.0,0.55,0.55,1.1,0.55,1.1,0.47,0.32,0.78,0.47,0.78,Matches
Cristian Borja,co COL,DF,30-246,6,5,397.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8,9.0,18.0,21.0,0.0,0.23,0.23,0.0,0.23,0.01,0.18,0.18,0.01,0.18,Matches
Rodrigo Zalazar,uy URU,MF,24-071,7,4,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.6,2.0,14.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.51,0.1,0.51,Matches
