Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Thomas van den Belt,nl NED,MF,22-125,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Javairô Dilrosun,nl NED,"FW,MF",25-121,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches
Marcos López,pe PER,DF,23-335,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches
Mannou Berger,nl NED,GK,19-006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ramon Hendriks,nl NED,DF,22-095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Neraysho Kasanwirjo,nl NED,DF,21-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kostas Lamprou,gr GRE,GK,32-033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Antoni Milambo,nl NED,MF,15-201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcus Pedersen,no NOR,DF,23-097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mikki van Sas,nl NED,GK,19-234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.3,8,88,720.0,8.0,28.0,22.0,50.0,27.0,1.0,1.0,4.0,1.0,23.5,22.7,18.0,40.7,221.0,462.0,454.0,3.5,2.75,6.25,3.38,6.12,2.94,2.25,5.19,2.84,5.09,
Opponent Total,,,25.7,8,88,720.0,8.0,6.0,6.0,12.0,6.0,0.0,0.0,16.0,0.0,6.3,6.3,4.5,10.7,71.0,181.0,177.0,0.75,0.75,1.5,0.75,1.5,0.78,0.56,1.34,0.78,1.34,
